P;;;;;;
Immatriculation;Code;Date MC;Code;Désignation;Cpt. actuel;Nom
AV-603-DQ;VUA005RE01;27/03/2001;DOM;Biens remis aux Domaines;146352,00;RENAULT KANGOO D
AV-625-DS;VUB012CI06;03/10/2006;DOM;Biens remis aux Domaines;321448,00;CITROEN JUMPY 2.0 HDI
AV-630-DQ;VUA006RE01;27/03/2001;DOM;Biens remis aux Domaines;211027,00;RENAULT KANGOO D
AV-661-DS;VLB005RE99;06/07/1999;DOM;Biens remis aux Domaines;116640,00;RENAULT TWINGO AUTH. 1.2E
AV-674-DQ;VUA001CI98;04/11/1998;DOM;Biens remis aux Domaines;0,00;CITROEN  BERLINGO
AV-734-DQ;CAB022IV02;10/03/1994;DOM;Biens remis aux Domaines;226113,00;IVECO EUROCARGO
AV-773-DQ;CAD003RE05;23/12/2005;CEIMELG;CEI Melgven;176640,00;RENAULT PREMIUM 320 DCI 26 BENNE AMO
AV-782-FA;VUC004RE05;23/12/2005;PSBPOOL;Pool Relais PS Brest;226350,00;RENAULT MASTER BENNE  L2H2
AV-810-FA;CAA005IV06;25/01/2006;CEICHTL;CEI Châteaulin;192050,00;IVECO DAILY 6.5T C17 HPT
AV-837-FA;CAD001RE02;22/03/2002;PSBREF;Réforme PS Brest;235191,00;RENAULT PREMIUM 300-26 BENNE+GRUE
AV-838-DQ;CAC005RE88;30/06/1988;DOM;Biens remis aux Domaines;468000,00;RENAULT G 210
AV-855-FA;CAB021RE99;10/06/1999;PSBPOOL;Pool Relais PS Brest;169955,00;RENAULT S180.10/B
AV-879-DQ;VUA007RE01;02/02/2001;DOM;Biens remis aux Domaines;104822,00;RENAULT KANGOO EXPRESS 1.5 DCI
AV-909-FA;CAD002RE05;17/01/2005;CEICHTL;CEI Châteaulin;200527,00;RENAULT PREMIUM 300-26 BENNE AMO
AV-966-DS;VLB009PE01;26/02/2001;DOM;Biens remis aux Domaines;224354,00;PEUGEAOT 106 D
AW-048-VP;CAC044RE03;05/09/2003;DOM;Biens remis aux Domaines;633200,00;RENAULT MAGNUM 440 PLATEAU
AX-037-SB;VLA002RE02;31/12/2002;DOM;Biens remis aux Domaines;174000,00;RENAULT KANGOO  BREAK 1,5 DCI
AX-082-SB;VUD005RE97;22/10/1997;DOM;Biens remis aux Domaines;201464,00;RENAULT MASTER T35 D  6 places
AX-105-YB;VUB026RE10;04/08/2010;PARME;Pôle Admi Rés Maint Equip;262000,00;RENAULT TRAFIC L2H2
AX-171-SB;VUA003RE00;10/03/2000;DOM;Biens remis aux Domaines;84600,00;RENAULT KANGOO D65 1,9 D G-Volume
AX-218-SA;VUD011RE00;14/11/2000;DOM;Biens remis aux Domaines;513258,00;RENAULT MASTER L2H2
AX-253-SA;CAC034RE08;06/11/2008;CEILOCM;CEI Locminé;61776,00;RENAULT 240-18 Tri-benne VINCENT carossée par Gromy
AX-267-SB;VLA004RE02;31/12/2002;DOM;Biens remis aux Domaines;258491,00;RENAULT KANGOO  BREAK 1,5 DCI
AX-308-SB;CAD015IV92;29/09/1992;DOM;Biens remis aux Domaines;199330,00;IVECO 330 30 6/4 Benne
AX-313-SA;CAC027RE01;09/03/2001;PSBREF;Réforme PS Brest;262339,00;RENAULT 300-19 PL+GRUE
AX-356-SB;VLA003RE02;31/12/2002;DOM;Biens remis aux Domaines;231775,00;RENAULT KANGOO 1.5 DCI 5P
AX-435-SA;VUD009RE00;16/03/2000;DOM;Biens remis aux Domaines;0,00;RENAULT MASTER L3H2 2,8 DCI
AX-485-SA;VUD015RE01;22/01/2001;DOM;Biens remis aux Domaines;484492,00;RENAULT MASTER L3H2 2,8 DCI
AX-526-SA;VLC028RE06;13/06/2006;PSBPOOL;Pool Relais PS Brest;232859,00;RENAULT CLIO 1,5 DCI
AX-559-SA;VLC029RE06;22/06/2006;PSBPOOL;Pool Relais PS Brest;362668,00;RENAULT CLIO 1.5 DCI
AX-589-SA;VUF003IV06;06/01/2006;PSBREF;Réforme PS Brest;83430,00;FOURG.DAILY 50J14
AX-613-SA;VUE007RE03;29/01/2003;DOM;Biens remis aux Domaines;240163,00;RENAULT MASTER L2H2
AX-645-SA;VUD033RE03;29/01/2003;DOM;Biens remis aux Domaines;158986,00;RENAULT MASTER L2H2 2,5 DCI 150CV
AX-787-SA;VLC033RE06;07/12/2006;PSLPOOL;Pool Relais PS Laval;210420,00;RENAULT CLIO 1,5 DCI
AX-828-SA;VLC034RE06;07/12/2006;DOM;Biens remis aux Domaines;303200,00;RENAULT CLIO 1,5 DCI
AX-914-SA;VLC032RE06;07/12/2006;PSLPOOL;Pool Relais PS Laval;228584,00;RENAULT CLIO 1,5 DCI
AX-998-SA;VUA010RE02;31/12/2002;DOM;Biens remis aux Domaines;221745,00;RENAULT KANGOO D55 1,9 D
AY-779-CQ;VUE084RE10;06/08/2010;DOM;Biens remis aux Domaines;298370,00;RENAULT MASTER L3H2 2,5 DCI-150
AY-794-CQ;VUA053RE10;06/08/2010;DOM;Biens remis aux Domaines;200610,00;RENAULT KANGOO 1,5 DCI
AZ-299-XB;CAC030IV92;20/01/1992;DOM;Biens remis aux Domaines;0,00;IVECO 115  17
AZ-371-XB;VUA014RE03;21/07/2003;DOM;Biens remis aux Domaines;214525,00;RENAULT KANGOO 1.5 DCI
AZ-410-XB;VUB001CI02;19/04/2002;DOM;Biens remis aux Domaines;311250,00;CITROEN JUMPY D
AZ-533-XF;VUB023RE10;14/09/2010;PSBPOOL;Pool Relais PS Brest;254466,00;RENAULT TRAFIC L1H1
AZ-561-XF;VUE086RE10;14/09/2010;PSNPOOL;Pool Relais PS Nantes;452739,00;RENAULT MASTER L3H3 2,5 DCI-150
AZ-599-XF;VUE085RE10;14/09/2010;DOM;Biens remis aux Domaines;470389,00;RENAULT MASTER L3H2 2,5 DCI-150
AZ-721-XB;VUD037RE03;21/07/2003;PSBREST;Point Service Brest;250700,00;RENAULT MASTER L3H2 2,5 DCI-120
AZ-746-XF;VUB024RE10;14/09/2010;PSVPOOL;Pool Relais PS Vannes;380300,00;RENAULT TRAFIC L1H1 2,0 DCI-115
AZ-887-XB;VUD023RE02;27/08/2002;DOM;Biens remis aux Domaines;0,00;RENAULT MASTER L3H2 2,5 DCI-120
AZ-932-XB;VUC012RE99;19/07/1999;DOM;Biens remis aux Domaines;418337,00;RENAULT MASTER BENNE T35
AZ-991-XB;VUA032RE06;11/07/2006;DOM;Biens remis aux Domaines;229935,00;RENAULT KANGOO 1.5 DCI
BA-454-SY;CAD053RE10;29/09/2010;CEICHNE;CEI Châteauneuf du Faou;114801,00;RENAULT PREMIUM LANDER 380.26 6X 4 AMPLIROLL
BB-001-DN;VUD092RE10;06/10/2010;STVANNE;Section Travaux de Vannes;180655,00;RENAULT MASTER L3H2
BB-038-ET;CAD016RE99;18/01/1999;DOM;Biens remis aux Domaines;229620,00;PREMIUM 340 6/2/4 PATA
BB-062-EV;VUE012RE01;20/04/2001;DOM;Biens remis aux Domaines;323570,00;RENAULT MASTER L3H2 2,8 DTI
BB-105-ET;VUD013RE01;14/11/2001;PSBPOOL;Pool Relais PS Brest;128414,00;RENAULT MASTER L3H2 2,8 DTI
BB-143-EV;VUD043RE04;23/01/2004;PSLAVAL;Point Service Laval;146220,00;RENAULT MASTER L2H2 2,5 DCI-120
BB-172-ET;CAA015IV00;18/10/2000;DOM;Biens remis aux Domaines;156096,00;IVECO DAILY 59-12 6T DC
BB-203-EV;VUF001IV03;23/10/2003;STLAVAL;Section Travaux Laval;128054,00;IVECO DAILY 50J13 6T
BB-229-MJ;VLC093RE10;13/10/2010;PSSBPOO;Pool Relais PS St Brieuc;185020,00;RENAULT CLIO III 1,5 DCI
